,Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,text
0,1,In the End,Linkin Park,alternative metal,2000,105,86,56,-6,21,40,217,1,6,83,"one thing i don't know whyit doesn't even matter how hard you trykeep that in mind, i designed this rhymeto explain in due timeall i knowtime is a valuable thingwatch it fly by as the pendulum swingswatch it count down to the end of the daythe clock ticks life awayit's so unrealdidn't look out belowwatch the time go right out the windowtryin' to hold on, did-didn't even knowi wasted it all just to watch you goi kept everything inside and even though i triedit all fell apartwhat it meant to me will eventuallybe a memory of a time when i tried so hardi tried so hard and got so farbut in the end it doesn't even matteri had to fall to lose it allbut in the end it doesn't even matterone thing, i don't know whyit doesn't even matter how hard you trykeep that in mind, i designed this rhymeto remind myself how i tried so hardin spite of the way you were mockin' meacting like i was part of your propertyremembering all the times you fought with mei'm surprised it got so farthings aren't the way they were beforeyou wouldn't even recognize me anymorenot that you knew me back thenbut it all comes back to me in the endyou kept everything inside and even though i triedit all fell apartwhat it meant to me will eventuallybe a memory of a time when i tried so hardi tried so hard and got so farbut in the end it doesn't even matteri had to fall to lose it allbut in the end it doesn't even matteri've put my trust in youpushed as far as i can gofor all thisthere's only one thing you should knowi've put my trust in youpushed as far as i can gofor all thisthere's only one thing you should knowi tried so hard and got so farbut in the end it doesn't even matteri had to fall to lose it allbut in the end it doesn't even matter"
1,2,The Scientist,Coldplay,permanent wave,2002,146,44,56,-7,11,21,310,73,2,83,"come up to meet you, tell you i'm sorryyou don't know how lovely you arei had to find you, tell you i need youtell you i set you aparttell me your secrets and ask me your questionsoh, let's go back to the startrunning in circles, coming up tailsheads on a science apartnobody said it was easyit's such a shame for us to partnobody said it was easyno one ever said it would be this hardoh, take me back to the starti was just guessing at numbers and figurespulling the puzzles apartquestions of science, science and progressdo not speak as loud as my heartbut tell me you love me, come back and haunt meoh and i rush to the startrunning in circles, chasing our tailscoming back as we arenobody said it was easyoh, it's such a shame for us to partnobody said it was easyno one ever said it would be so hardi'm going back to the start"
2,3,Numb,Linkin Park,alternative metal,2003,110,86,50,-4,64,24,186,0,4,81,"i'm tired of being what you want me to befeeling so faithless, lost under the surfacedon't know what you're expecting of meput under the pressure of walking in your shoesevery step that i take is another mistake to you(caught in the undertow, just caught in the undertow)i've become so numbi can't feel you therebecome so tiredso much more awarei'm becoming thisall i want to dois be more like meand be less like youcan't you see that you're smothering meholding too tightly, afraid to lose control?'cause everything that you thought i would behas fallen apart right in front of youevery step that i take is another mistake to you(caught in the undertow, just caught in the undertow)and every second i waste is more than i can takei've become so numbi can't feel you therebecome so tiredso much more awarei'm becoming thisall i want to dois be more like meand be less like youand i knowi may end up failing toobut i knowyou were just like me with someone disappointed in youi've become so numbi can't feel you therebecome so tiredso much more awarei'm becoming thisall i want to dois be more like meand be less like youi've become so numbi can't feel you there(i'm tired of being what you want me to be)i've become so numbi can't feel you there(i'm tired of being what you want me to be)"
3,4,Fix You,Coldplay,permanent wave,2005,138,42,21,-9,11,12,296,16,3,81,"when you try your best, but you don't succeedwhen you get what you want, but not what you needwhen you feel so tired, but you can't sleepstuck in reverseand the tears come streaming down your facewhen you lose something you can't replacewhen you love someone, but it goes to wastecould it be worse?lights will guide you homeand ignite your bonesand i will try to fix youand high up above, or down belowwhen you're too in love to let it gobut if you never try, you'll never knowjust what you're worthlights will guide you homeand ignite your bonesand i will try to fix youtears stream down your facewhen you lose something you cannot replacetears stream down your face, and itears stream down your facei promise you i will learn from my mistakestears stream down your face, and ilights will guide you homeand ignite your bonesand i will try to fix you"
4,5,Umbrella,Rihanna,barbadian pop,2008,174,83,58,-5,4,57,276,1,13,80,"uh huh, uh huh (yeah, rihanna)uh huh, uh huh (good girl gone bad)uh huh, uh huh (take three, action)uh huh, uh huh (hov)no clouds in my stoneslet it rain, i hydroplane in the bankcomin' down like dow joneswhen the clouds come, we gonewe roc-a-fellawe fly higher than weatherin g5's or betteryou know me (you know me)in anticipation for precipitation stack chips for the rainy dayjay, rain man is backwith little ms. sunshine, rihanna, where you at?you have my heartand we'll never be worlds apartmaybe in magazinesbut you'll still be my starbaby, 'cause in the darkyou can't see shiny carsand that's when you need me therewith you i'll always sharebecausewhen the sun shines, we'll shine togethertold you i'll be here foreversaid i'll always be your friendtook an oath, i'ma stick it out to the endnow that it's raining more than everknow that we'll still have each otheryou can stand under my umbrellayou can stand under my umbrella, ella, ella, eh, eh, ehunder my umbrella, ella, ella, eh, eh, ehunder my umbrella, ella, ella, eh, eh, ehunder my umbrella, ella, ella, eh, eh, eh, eh, eh-ehthese fancy things will never come in betweenyou're part of my entity, here for infinitywhen the war has took its partwhen the world has dealt its cardsif the hand is hardtogether we'll mend your heartbecausewhen the sun shines, we shine togethertold you i'll be here foreversaid i'll always be your friendtook an oath, i'ma stick it out to the endnow that it's raining more than everknow that we'll still have each otheryou can stand under my umbrellayou can stand under my umbrella, ella, ella, eh, eh, ehunder my umbrella, ella, ella, eh, eh, ehunder my umbrella, ella, ella, eh, eh, ehunder my umbrella, ella, ella, eh, eh, eh, eh, eh-ehyou can run into my armsit's okay, don't be alarmedcome into me (there's no distance in between our love)so gon' and let the rain pouri'll be all you need and morebecausewhen the sun shines, we shine togethertold you i'll be here foreversaid i'll always be your friendtook an oath, i'ma stick it out to the endnow that it's raining more than everknow that we'll still have each otheryou can stand under my umbrellayou can stand under my umbrella, ella, ella, eh, eh, ehunder my umbrella, ella, ella, eh, eh, ehunder my umbrella, ella, ella, eh, eh, ehunder my umbrella, ella, ella, eh, eh, eh, eh, eh-ehit's raining, rainingooh, baby, it's raining, rainingbaby, come into mecome into meit's raining, rainingooh, baby, it's raining, rainingyou can always come into mecome into meit's pouring rainit's pouring raincome into mecome into meit's pouring rainit's pouring rain, come into me"
5,6,Stronger,Kanye West,chicago rap,2007,104,72,62,-8,41,49,312,1,15,80,"work it, make it, do itmakes us harder, better, faster, strongerna-na-na that that don't kill mecan only make me strongeri need you to hurry up now'cause i can't wait much longeri know i got to be right now'cause i can't get much wrongerman, i've been waitin' all night nowthat's how long i've been on youwork it harder, make it betterdo it fasteri need you right nowmakes us stronger more than everhour after, our work is never overi need you right nowlet's get lost tonightyou could be my black kate moss tonightplay secretary, i'm the boss tonightand you don't give a f- what they all say right?awesome, the christian and christian diordamn, they don't make 'em like this anymorei ask 'cause i'm not suredo anybody make real shit anymore?bow in the presence of greatness'cause right now thou hast forsaken usyou should be honored by my latenessthat i would even show up to this fake sh-so go ahead, go nuts, go apesh-especially in my pastel on my bape sh-act like you can't tell who made thisnew gospel homie, take six, and take this, hatersna-na-na that that don't kill mecan only make me strongeri need you to hurry up now'cause i can't wait much longeri know i got to be right now'cause i can't get much wrongerman i've been waitin' all night nowthat's how long i've been on youwork it harder, make it betterdo it fasteri need you right nowmakes us stronger more than everhour after, our work is never overi need you right now (me likey)i don't know if you got a man or notif you made plans or notif god put me in your plans or noti'm trippin', this drink got me sayin' a lotbut i know that god put you in front of meso how the hell could you front on me?there's a thousand you's, there's only one of mei'm trippin', i'm caught up in the moment right?'cause it's louis vuitton don nightso we gon' do everything that kan likeheard they'd do anything for a klondikewell, i'd do anything for a blonde-dikeand she'll do anything for the limelightand we'll do anything when the time's rightugh, baby, you're makin' it (harder, better, faster, stronger)na-na-na that that don't kill mecan only make me strongeri need you to hurry up now'cause i can't wait much longeri know i got to be right now'cause i can't get much wrongerman i've been waitin' all night nowthat's how long i've been on youwork it harder, make it betterdo it fasteri need you right nowmakes us stronger more than everhour after, our work is never overi need you right nowyou know how long i've been on you?since prince was on appoloniasince oj had isotonersdon't act like i never told youdon't act like i never told youdon't act like i never told youdon't act like i never told youdon't act like i never told youbaby, you're making it (harder, better, faster, stronger)na-na-na that that don't kill mecan only make me strongeri need you to hurry up now'cause i can't wait much longeri know i got to be right now'cause i can't get much wrongerman i've been waitin' all night nowthat's how long i've been on youwork it harder, make it betterdo it fasteri need you right nowmakes us stronger more than everhour after, our work is never overi need you right nowwork it harder, make it betterdo it fasteri need you right nowmakes us stronger more than everhour after, our work is never overi need you right nowyou know how long i've been on you?since prince was on appoloniasince oj had isotonersdon't act like i never told youyou know how long i've been on you?since prince was on appoloniasince oj had isotonersdon't act like i never told younever told younever told younever told younever overnever overnever overnever overnever overnever overnever overharder, better, faster, strongerwork it harder, make it betterdo it fastermakes us stronger more than everhour after, our work is never overwork it harder, make it betterdo it fastermakes us stronger more than everhour after, our work is never overwork it harder, make it betterdo it fastermakes us stronger more than everhour after, our work is never overwork it harder, make it betterdo it fastermakes us stronger more than everhour after, our work is never over"
6,7,The Real Slim Shady,Eminem,detroit hip hop,2000,105,66,95,-4,5,76,284,3,6,80,"may i have your attention please?may i have your attention please?will the real slim shady please stand up?i repeat, will the real slim shady please stand up?we're gonna have a problem herey'all act like you never seen a white person beforejaws all on the floor like pam and tommy just burst in the doorand started whooping her ass worse than beforethey first were divorced, throwing her over furniture (ah!)it's the return of the... ""ah, wait, no way, you're kiddinghe didn't just say what i think he did, did he?""and dr. dre said... nothing, you idiots!dr. dre's dead, he's locked in my basement! (ha-ha!)feminist women love eminem[*vocal turntable: chigga chigga chigga*]""slim shady, i'm sick of himlook at him, walking around grabbing his you-know-whatflipping the you-know-who."" ""yeah, but he's so cute though!""yeah, i probably got a couple of screws up in my head loosebut no worse, than what's going on in your parents' bedroomssometimes, i wanna get on tv and just let loose, but can'tbut it's cool for tom green to hump a dead moose""my bum is on your lips, my bum is on your lips""and if i'm lucky, you might just give it a little kissand that's the message that we deliver to little kidsand expect them not to know what a woman's clitoris isof course they gonna know what intercourse isby the time they hit fourth gradethey got the discovery channel, don't they?""we ain't nothing but mammals.."" well, some of us cannibalswho cut other people open like cantaloupes [*slurp*]but if we can hump dead animals and antelopesthen there's no reason that a man and another man can't elope[*ewww!*] but if you feel like i feel, i got the antidotewomen wave your pantyhose, sing the chorus and it goes'cause i'm slim shady, yes i'm the real shadyall you other slim shadys are just imitatingso won't the real slim shady please stand upplease stand up, please stand up?'cause i'm slim shady, yes i'm the real shadyall you other slim shadys are just imitatingso won't the real slim shady please stand upplease stand up, please stand up?will smith don't gotta cuss in his raps to sell recordswell i do, so fuck him and fuck you too!you think i give a damn about a grammy?half of you critics can't even stomach me, let alone stand me""but slim, what if you win, wouldn't it be weird?""why? so you guys could just lie to get me here?so you can, sit me here next to britney spears?yo shit, christina aguilera better switch me chairsso i can sit next to carson daly and fred durstand hear 'em argue over who she gave head to firstlittle bitch, put me on blast on mtv""yeah, he's cute, but i think he's married to kim, hee-hee!""i should download her audio on mp3and show the whole world how you gave eminem vdi'm sick of you little girl and boy groups, all you do is annoy meso i have been sent here to destroy youand there's a million of us just like mewho cuss like me; who just don't give a fuck like mewho dress like me; walk, talk and act like meit just might be the next best thing but not quite me!'cause i'm slim shady, yes i'm the real shadyall you other slim shadys are just imitatingso won't the real slim shady please stand upplease stand up, please stand up?'cause i'm slim shady, yes i'm the real shadyall you other slim shadys are just imitatingso won't the real slim shady please stand upplease stand up, please stand up?i'm like a head trip to listen to, cause i'm only giving youthings you joke about with your friends inside your living roomthe only difference is i got the balls to say itin front of y'all and i don't gotta be false or sugarcoated at alli just get on the mic and spit itand whether you like to admit it [*err*] i just shit itbetter than ninety percent of you rappers out canthen you wonder how can kids eat up these albums like valiumsit's funny; 'cause at the rate i'm going when i'm thirtyi'll be the only person in the nursing home flirtingpinching nurses asses when i'm jacking off with jergensand i'm jerking but this whole bag of viagra isn't workingand every single person is a slim shady lurkinghe could be working at burger king, spitting on your onion rings[*hach*] or in the parking lot, circlingscreaming ""i don't give a fuck!""with his windows down and his system upso, will the real shady please stand up?and put one of those fingers on each hand up?and be proud to be outta your mind and outta controland one more time, loud as you can, how does it go?'cause i'm slim shady, yes i'm the real shadyall you other slim shadys are just imitatingso won't the real slim shady please stand upplease stand up, please stand up?'cause i'm slim shady, yes i'm the real shadyall you other slim shadys are just imitatingso won't the real slim shady please stand upplease stand up, please stand up?'cause i'm slim shady, yes i'm the real shadyall you other slim shadys are just imitatingso won't the real slim shady please stand upplease stand up, please stand up?'cause i'm slim shady, yes i'm the real shadyall you other slim shadys are just imitatingso won't the real slim shady please stand upplease stand up, please stand up?ha haguess there's a slim shady in all of usfuck it, let's all stand up"
7,8,Low (feat. T-Pain),Flo Rida,dance pop,2008,128,61,92,-6,14,30,231,9,8,79,"mm-mm-mm-mmlet me talk to 'emlet me talk to 'emlet it rain, mm-mm-mmlet me talk to 'emc'monshawty had them apple bottom jeans (jeans)boots with the fur (with the fur)the whole club was lookin' at hershe hit the floor (she hit the floor)next thing you knowshawty got low, low, low, low, low, low, low, lowthem baggy sweat pants and the reeboks with the straps (with the straps)she turned around and gave that big booty a slap (hey)she hit the floor (she hit the floor)next thing you knowshawty got low, low, low, low, low, low, low, lowhey, i ain't never seen nothin' that'll make me gothis crazy all night, spending my doughhad the million dollar vibe and a body to gothem birthday cakes, they stole the showso sexualshe was flexible, professionaldrinkin' x and ohold up wait a minute, do i see what i think i-, whoadid her thing, i seen shawty get lowain't the same when it's up that closemake it rain, i'm makin' it snowwork the pole, i got the bankrolli'ma say that i prefer the no clothesi'm into that, i love women exposedshe threw it back at me, i gave her morecash ain't a problem, i know where it goshe had them apple bottom jeans (jeans)boots with the fur (with the fur)the whole club was lookin' at hershe hit the floor (she hit the floor)next thing you knowshawty got low, low, low, low, low, low, low, lowthem baggy sweat pants and the reeboks with the straps (with the straps)she turned around and gave that big booty a slap (ayy)she hit the floor (she hit the floor)next thing you knowshawty got low, low, low, low, low, low, low, lowhey, shawty, what i gotta do to get you home?my jeans filled with guap and they ready for shonescadillacs, maybachs for the sexy grownpatron on the rocks that'll make your moanone stack c'mon, two stacks c'mon, three stacks c'monnow that's three grandwhat you think i'm playin'? baby-girl, i'm the mani invented rubber bandsthat's what i told her, her legs on my shouldersi knew it was overthat henny and cola got me like a soldiershe ready for rover, i couldn't control herso lucky, oh, me, i was just like a clovershawty was hot like a toastersorry, but i had to fold herlike a pornography poster, she showed herapple bottom jeans (jeans)boots with the fur (with the fur)the whole club was lookin' at hershe hit the floor (she hit the floor)next thing you knowshawty got low, low, low, low, low, low, low, lowthem baggy sweat pants and the reeboks with the straps (with the straps)she turned around and gave that big booty a slap (hey)she hit the floor (she hit the floor)next thing you knowshawty got low, low, low, low, low, low, low, lowwhoa, shawty, yeah she was worth the moneylil' mama took my cashand i ain't want it backthe way she bent that backgot all them paper stackstattoo above her cracki had to handle thati was on it, sexy womanlet me showin', and make me want ittwo in the morning, i'm zoned inthem rosay bottles foamingshe wouldn't stop, made it dropshawty did that pop and lockhad to break her off that guapgal was fly just like my glockapple bottom jeans (jeans)boots with the fur (with the fur)the whole club was lookin' at hershe hit the floor (she hit the floor)next thing you knowshawty got low, low, low, low, low, low, low, lowthem baggy sweat pants and the reeboks with the straps (with the straps)she turned around and gave that big booty a slap (hey)she hit the floor (she hit the floor)next thing you knowshawty got low, low, low, low, low, low, low, low (c'mon)"
8,9,American Boy,Estelle,r&b,2008,118,73,73,-3,7,51,285,17,33,79,"this a number one champion sound (yeah)yeah, estelle, we 'bout to get down (get down)who the hottest in the world right now? (uh)just touched down in london town (uh)bet they give me a pound (uh)tell 'em, put the money in my hand right now (yes)tell the promoter, we need more seatswe just sold out all the floor seatstake me on a trip, i'd like to go some daytake me to new york, i'd love to see lai really want to come kick it with youyou'll be my american boyhe said, ""hey, sister, it's really, really nice to meet ya""i just met this five-foot-seven guy who's just my typelike the way he's speakin', his confidence is peakin'don't like his baggy jeans, but i might like what's underneath themand, no, i ain't been to miai heard that cali never rains and new york's wide awakefirst, let's see the west end, i'll show you to my bredrini'm likin' this american boy, american boytake me on a trip, i'd like to go some daytake me to new york, i'd love to see lai really want to come kick it with youyou'll be my american boy, american boyla, la la, la la, eyala, la la, la la, eyala, la la, la la, eyawill you be my american boy? american boycan we get away this weekend? take me to broadwaylet's go shopping, maybe then we'll go to a cafélet's go on the subway, take me to your hoodi never been to brooklyn, and i'd like to see what's gooddressed in all your fancy clothessneakers lookin' fresh to death, i'm lovin' those shell toeswalkin' that walk, talk that slick talki'm likin' this american boy, american boytake me on a trip, i'd like to go some daytake me to new york, i'd love to see lai really want to come kick it with youyou'll be my american boytell 'em wah gwan, blud!who killin' them in the uk?everybody gonna say, ""you, k""reluctantly, 'cause most of this press don't fuck with meestelle once said to me, ""cool down, downdon't act a fool now, now""i always act a fool, ow, owain't nothing new now, nowhe crazy, i know what you thinkin'ribena, i know what you're drinkin'rap singer, chain blingerholler at the next chick soon as you're blinkin'what's your persona about this americana rhymer?am i shallow 'cause all my clothes designer? uhdressed smart like a london bloke (yeah)before he speak his suit bespoke (woop)and you thought he was cute beforelook at this pea coat, tell me he's broke (woo)and i know you ain't into all thati heard your lyrics, i feel your spiritbut i still talk that ca-a-ash'cause a lotta wags wanna hear itand i'm feelin' like mike at his baddestlike the pips at their gladdestand i know they love itso to hell with all that rubbishwould you be my love, my love?would you be mine?would you be my love, my love?would you be mine?could you be my love, my love? (ooh)would you be my american boy? american boytake me on a trip, i'd like to go some day (ooh, someday)take me to chicago, san francisco bay (i wanna see the bay)i really want to (you) come kick it with you (ooh-ooh-ooh)you'll be my american boy, american boy (be my american boy)take me on a trip, i'd like to go some day (i'd like to go some day)take me to new york, i'd love to see la (see la)i really want to come kick it with youyou'll be my american boy, american boyla, la la, la la, eya (la, la)la, la la, la la, eya (ooh, ooh)la, la la, la la, eyawill you be my american boy?"
9,10,Yeah! (feat. Lil Jon & Ludacris),Usher,atl hip hop,2004,105,79,89,-5,4,58,250,2,11,79,"peace up, a-town downyeah, yeah! okay, okay!usher (usher, usher, usher, usher)lil jonlet's go!yeah, yeah, yeah, yeah, yeah, yeah!yeah, yeah, yeah, yeah, yeah, yeah!let's go!i was up in the club with my homiestryna get a lil' v-ikeep it down on the low-key (low-key)'cause you know how it feels (hey!)i seen shorty, she was checkin' up on mefrom the game she was spitting in my earyou would think that she know me (know me)i decided to chill (okay!)conversation got heavy (hey!)she had me feeling like she's ready to blow (watch out!)oh! (watch out)she's saying, ""come get me"" (come get me)so i got up and followed her to the floorshe said, ""baby, let's go""when i told her (let's go!), i said(yeah!) yeah!shawty got down low, she said, ""come and get me""(yeah!) yeah!i got so caught up, i forgot she told me(yeah!) yeah!her and my girl, they used to be the best of homies(yeah!) yeah!next thing i knew, she was all up on me, screamingyeah (yeah!) yeah (yeah!) yeah, yeah!yeah (yeah!) yeah (yeah!) yeah, yeah!so she's all up in my head now, got me thinkingthat it might be a good idea to take her with me'cause she's ready to leave (ready to leave now) (let's go!)and i got to keep it real now'cause on a one to ten, she's a certified twentybut that just ain't me (hey!)'cause i don't know, if i take that chancejust where's it gonna lead?but what i do know is the way she dancemake shorty alright with methe way she get lowi'm like, yeah, just work that out for meshe asks for one more dance, and i'm like, yeahhow the hell am i supposed to leave?(let's go, bring the beat back!) and i say(yeah!) yeah!shawty got down low, she said, ""come and get me""(yeah!) yeah!i got so caught up, i forgot she told me(yeah!) yeah!her and my girl, they used to be the best of homies(yeah!) yeah!next thing i knew, she was all up on me, screamingyeah (yeah!) yeah (yeah!) yeah, yeah!yeah (yeah!) yeah (yeah!) yeah, yeah!(hey! hey! luda!)[ludacris (lil jon):]watch out, my outfit's ridiculousin the club, looking so conspicuousand these women all on the prowlif you hold the head steady, i'ma milk the cow (yeah!)and forget about game, i'ma spit the truth (what?)i won't stop 'til i get 'em in their birthday suit (yeah!)so gimme the rhythm and it'll be off with their clothesthen bend over to the front, and touch your toesi left the jag and i took the rollsif they ain't cutting, then i put 'em on foot patrol (let's go!)how you like me now?when my pinky's valued over three hundred thousandlet's drink, you the one to please (yeah!)ludacris fill cups like double ds (yeah!)me and ursh' once more, and we leaves 'em deadwe want a lady in the street, but a freak in the bed, that say(yeah!) yeah!shawty got down low, she said, ""come and get me""(yeah!) yeah!i got so caught up, i forgot she told me(yeah!) yeah!her and my girl, they used to be the best of homies(yeah!) yeah!next thing i knew, she was all up on me, screamingyeah (yeah!) yeah (yeah!) yeah, yeah!yeah (yeah!) yeah (yeah!) yeah, yeah![ludacris:]take that and rewind it backlil jon got the beat that make your booty go (clap)take that, rewind it backursher got the voice make your booty go (clap)take that, rewind it backludacris got the flow to make your booty go (clap)take that, rewind it backlil jon got the beat that make your booty go (clap)"
