,Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,text,Emotion
0,1,bad guy,Billie Eilish,electropop,2019,135,43,70,-11,10,56,194,33,38,94,"white shirt now red, my bloody nosesleepin', you're on your tippy toescreepin' around like no one knowsvthink you're so criminalbruises on both my knees for youdon't say thank you or pleasei do what i want when i'm wanting tomy soul, so cynicalso you're a tough guylike it really rough guyjust can't get enough guychest always so puffed guyi'm that bad typemake your mama sad typemake your girlfriend mad tightmight seduce your dad typei'm the bad guyduhi'm the bad guyi like it when you take controleven if you know that you don'town me, i'll let you play the rolei'll be your animalmy mommy likes to sing along with mebut she won't sing this songif she reads all the lyricsshe'll pity the men i knowso you're a tough guylike it really rough guyjust can't get enough guychest always so puffed guyi'm that bad typemake your mama sad typemake your girlfriend mad tightmight seduce your dad typei'm the bad guyduhi'm the bad guyduhi'm only good at bein' bad, badi like when you get madi guess i'm pretty glad that you're aloneyou said she's scared of me?i mean, i don't see what she seesbut maybe it's 'cause i'm wearing your colognei'm a bad guyi'm-i'm a bad guybad guy, bad guyi'm a bad-",Sad
1,2,7 rings,Ariana Grande,dance pop,2019,140,32,78,-11,9,33,179,59,33,90,"yeah, breakfast at tiffany's and bottles of bubblesgirls with tattoos who like getting in troublelashes and diamonds, atm machinesbuy myself all of my favourite things, yeahbeen through some bad shit, i should be a sad bitchwho would have thought it'd turn me to a savage?rather be tied up with calls and not stringswrite my own checks like i write what i sing, yeahmy wrist, stop watchin', my neck is flossymake big deposits, my gloss is poppin'you like my hair? gee, thanks, just bought iti see it, i like it, i want it, i got it, yeahi want it, i got it, i want it, i got iti want it, i got it, i want it, i got ityou like my hair? gee, thanks, just bought iti see it, i like it, i want it, i got it (yep)wearing a ring, but ain't gon' be no ""mrs""bought matching diamonds for six of my bitchesi'd rather spoil all my friends with my richesthink retail therapy my new addictionwhoever said money can't solve your problemsmust not have had enough money to solve 'emthey say, ""which one?"", i say, ""nah, i want all of 'em""happiness is the same price as red-bottomsmy smile is beamin' (yeah), my skin is gleamin' (is gleamin')the way it shine, i know you've seen it (you've seen it)i bought a crib just for (just for) the closet (closet)both his and hers, i want it, i got it, yeahi want it, i got it, i want it, i got iti want it, i got it, i want it, i got it (baby)you like my hair? gee, thanks, just bought it (oh yeah)i see it, i like it, i want it, i got it (yep)yeah, my receipts be lookin' like phone numbersif it ain't money, then wrong numberblack card is my business cardthe way it be settin' the tone for mei don't mean to brag, but i be like, ""put it in the bag"", yeahwhen you see them racks, they stacked up like my ass, yeahshoot, go from the store to the boothmake it all back in one loop, give me the lootnever mind, i got the juicenothing but net when we shootlook at my neck, look at my jetain't got enough money to pay me respectain't no budget when i'm on the setif i like it, then that's what i get, yeahi want it, i got it, i want it, i got it (yeah)i want it, i got it, i want it, i got it (oh yeah, yeah)you like my hair? gee, thanks, just bought iti see it, i like it, i want it, i got it (yep)",Happy
2,3,Old Town Road - Remix,Lil Nas X,country rap,2019,136,62,88,-6,11,64,157,5,10,89,"yeah, i'm gonna take my horse to the old town roadi'm gonna ride 'til i can't no morei'm gonna take my horse to the old town roadi'm gonna ride (kio, kio) 'til i can't no morei got the horses in the backhorse tack is attachedhat is matte blackgot the boots that's black to matchriding on a horse, hayou can whip your porschei been in the valleyyou ain't been up off the porch, nowcan't nobody tell me nothingyou can't tell me nothingcan't nobody tell me nothingyou can't tell me nothingriding on a tractorlean all in my bladdercheated on my babyyou can go and ask hermy life is a moviebull riding and boobiescowboy hat from gucciwrangler on my bootycan't nobody tell me nothingyou can't tell me nothingcan't nobody tell me nothingyou can't tell me nothingyeah, i'm gonna take my horse to the old town roadi'm gonna ride 'til i can't no morei'm gonna take my horse to the old town roadi'm gonna ride 'til i can't no morehat down, cross-town, livin' like a rockstarspent a lot of money on my brand-new guitarbaby's got a habit: diamond rings and fendi sports brasridin' down rodeo in my maserati sports cargot no stress, i've been through all thati'm like a marlboro man so i kick on backwish i could roll on back to that old town roadi wanna ride 'til i can't no moreyeah, i'm gonna take my horse to the old town roadi'm gonna ride 'til i can't no morei'm gonna take my horse to the old town roadi'm gonna ride 'til i can't no more",Sad
3,4,SeÃ±orita,Shawn Mendes,canadian pop,2019,117,55,76,-6,8,75,191,4,3,88,"i love it when you call me señoritai wish i could pretend i didn't need yabut every touch is ooh, la-la-lait's true, la-la-laooh, i should be runningooh, you keep me coming for yaland in miamithe air was hot from summer rainsweat dripping off mebefore i even knew her name, la-la-lait felt like ooh, la-la-layeah, nosapphire moonlightwe danced for hours in the sandtequila sunriseher body fit right in my hands, la-la-lait felt like ooh, la-la-la, yeahi love it when you call me señoritai wish i could pretend i didn't need yabut every touch is ooh, la-la-lait's true, la-la-laooh, i should be runningooh, you know i love it when you call me señoritai wish it wasn't so damn hard to leave yabut every touch is ooh, la-la-lait's true, la-la-laooh, i should be runningooh, you keep me coming for yalocked in the hotelthere's just some things that never changeyou say we're just friendsbut friends don't know the way you taste, la-la-la'cause you know it's been a long time comingdon't you let me fall, ohooh, when your lips undress mehooked on your tongueooh, love, your kiss is deadlydon't stopi love it when you call me señoritai wish i could pretend i didn't need yabut every touch is ooh, la-la-lait's true, la-la-laooh, i should be runningooh, you know i love it when you call me señoritai wish it wasn't so damn hard to leave yabut every touch is ooh, la-la-lait's true, la-la-la (true, la-la)ooh, i should be runningooh, you keep me coming for yaall along i've been coming for ya (for ya)and i hope it meant something to ya (ooh)call my name, i'll be coming for yacoming for ya, coming for ya, coming for yafor yafor ya (oh, she loves it when i call)for yaooh, i should be runningooh, you keep me coming for ya",Sad
4,5,rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,160,52,59,-6,13,13,218,12,7,88,"tank godayy (ayy)i've been fuckin' hoes and poppin' pilliesman, i feel just like a rockstar (ayy, ayy)all my brothers got that gasand they always be smokin' like a rasta (mm)fuckin' with me, call up on a uziand show up, man, them the shottaswhen my homies pull up on your blockthey make that thing go grah-ta-ta-ta (ta, pow, pow, pow), ayy, ayyswitch my whip, came back in blacki'm startin' sayin', ""rest in peace to bon scott, "" ayyclose that door, we blowin' smokeshe ask me light a fire like i'm morrison, ayyact a fool on stageprolly leave my fuckin' show in a cop car, ayyshit was legendarythrew a tv out the window of the montagecocaine on the table, liquor pourin'don't give a damn, dude, your girlfriend is a groupieshe just tryna get insayin', ""i'm with the band""ayy, ayynow she actin' outta pockettryna grab up on my pants, hundred bitches in my trailersay they ain't got a manand they all brought a friendyeah, ayy (ayy, ayy)i've been fuckin' hoes and poppin' pilliesman, i feel just like a rockstar (ayy, ayy)all my brothers got that gasand they always be smokin' like a rasta (mm)fuckin' with me, call up on a uziand show up, man, them the shottaswhen my homies pull up on your blockthey make that thing go grah-ta-ta-ta (ta, pow, pow, pow)i've been in the hills fuckin' superstarsfeelin' like a popstar (21, 21, 21)drankin' henny, bad bitches jumpin' in the pooland they ain't got on no bra (bra)hit her from the back, pullin' on her tracksand now she screamin' out, ""no más!"" (yeah, yeah, yeah)they like, ""savage, why you got a 12 car garageand you only got six cars?"" (21)i ain't with the cakin', how you kiss that? (kiss that)your wifey say i'm lookin' like a whole snack (bitch)green hundreds in my safe, i got old racks (old racks)l.a. bitches always askin', ""where the coke at?"" (21, 21)livin' like a rockstar, smash out on a cop carsweeter than a pop-tart, you know you are not hardi done made the hot chart, 'member i used to trap hard?livin' like a rockstar, i'm livin' like a rockstar (ayy)i've been fuckin' hoes and poppin' pilliesman, i feel just like a rockstar (ayy, ayy)all my brothers got that gasand they always be smokin' like a rasta (yeah, yeah, yeah, yeah)fuckin' with me, call up on a uziand show up, man, them the shottas (uh)when my homies pull up on your blockthey make that thing go grah-ta-ta-ta (ta, grah-ta-ta-ta-ta)'star, 'starrockstarrockstar (rockstar)rockstar, feel just like a-rockstar (rockstar)rockstar, yeah (feel just like a-)",Happy
5,6,SAD!,XXXTENTACION,emo rap,2018,75,61,74,-5,12,47,167,26,14,87,"yeahwho am i? someone that's afraid to let go, uhyou decide, if you're ever gonna let me know, yeahsuicide, if you ever try to let go, uhi'm sad i know, yeah, i'm sad i know, yeahwho am i? someone that's afraid to let go, uhyou decide, if you're ever gonna let me know, yeahsuicide, if you ever try to let go, uhi'm sad i know, yeah, i'm sad i know, yeahi gave her everythingshe took my heart and left me lonelyi think broken heart's contagiousi won't fix, i'd rather weepi'm lost then i'm foundbut it's torture bein' in lovei love when you're aroundbut i fuckin' hate when you leavewho am i? someone that's afraid to let go, uhyou decide, if you're ever gonna let me know, yeahsuicide, if you ever try to let go, uhi'm sad i know, yeah, i'm sad i know, yeahwho am i? someone that's afraid to let go, uhyou decide, if you're ever gonna let me know, yeahsuicide, if you ever try to let go, uhi'm sad i know, yeah, i'm sad i know, yeahwho am i? someone that's afraid to let go, uhyou decide, if you're ever gonna let me know, yeahsuicide, if you ever try to let go, uhi'm sad i know, yeah, i'm sad i know, yeahwho am i? someone that's afraid to let go, uhyou decide, if you're ever gonna let me know, yeahsuicide, if you ever try to let go, uhi'm sad i know, yeah, i'm sad i know, yeah",Sad
6,7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2019,90,52,76,-4,7,93,158,53,6,86,"ayy, ayy, ayy, ayy (ooh)ooh, ooh, ooh, ooh (ooh)ayy, ayyooh, ooh, ooh, oohneedless to say, i keep her in checkshe was a bad-bad, nevertheless (yeah)callin' it quits now, baby, i'm a wreck (wreck)crash at my place, baby, you're a wreck (wreck)needless to say, i'm keeping her in checkshe was all bad-bad, neverthelesscallin' it quits now, baby, i'm a wreckcrash at my place, baby, you're a wreckthinkin' in a bad way, losin' your gripscreamin' at my face, baby, don't tripsomeone took a big l, don't know how that feltlookin' at you sideways, party on tiltooh-ooh-oohsome things you just can't refuseshe wanna ride me like a cruiseand i'm not tryna losethen you're left in the dustunless i stuck by yayou're the sunfloweri think your love would be too muchor you'll be left in the dustunless i stuck by yayou're the sunfloweryou're the sunflowerevery time i'm leavin' on you (ooh)you don't make it easy, no (no, no)wish i could be there for yougive me a reason to, oh (oh)every time i'm walkin' outi can hear you tellin' me to turn aroundfightin' for my trust and you won't back downeven if we gotta risk it all right now, oh (now)i know you're scared of the unknown ('known)you don't wanna be alone (alone)i know i always come and go (and go)but it's out of my controland you'll be left in the dustunless i stuck by yayou're the sunfloweri think your love would be too muchor you'll be left in the dustunless i stuck by yayou're the sunfloweryou're the sunflower (yeah)",Sad
7,8,God's Plan,Drake,canadian hip hop,2018,77,45,75,-9,55,36,199,3,11,85,"and, they wishin' and wishin' and wishin' and wishin'they wishin' on me, yeahi been movin' calm, don't start no trouble with metryna keep it peaceful is a struggle for medon't pull up at 6 am to cuddle with meyou know how i like it when you lovin' on mei don't wanna die for them to miss meyes, i see the things that they wishin' on mehope i got some brothers that outlive methey gon' tell the story, shit was different with megod's plan, god's plani hold back, sometimes i won't, yeahi feel good, sometimes i don't, ayy, don'ti finessed down weston road, ayy, 'nessedmight go down a g-o-d, yeah, waiti go hard on southside g, yeah, wayi make sure that north side eatand stillbad thingsit's a lot of bad thingsthat they wishin' and wishin' and wishin' and wishin'they wishin' on mebad thingsit's a lot of bad thingsthat they wishin' and wishin' and wishin' and wishin'they wishin' on meyeah, ayy, ayy (ayy)she say, ""do you love me?"" i tell her, ""only partlyi only love my bed and my momma, i'm sorry""fifty dub, i even got it tatted on me81, they'll bring the crashers to the partyand you know meturn the o2 into the o3, dogwithout 40, oli', there'd be no me'magine if i never met the broskisgod's plan, god's plani can't do this on my own, ayy, no, ayysomeone watchin' this shit close, yep, closei've been me since scarlett road, ayy, road, ayymight go down as g-o-d, yeah, waiti go hard on southside g, ayy, wayi make sure that north side eat, yuhand stillbad thingsit's a lot of bad thingsthat they wishin' and wishin' and wishin' and wishin'they wishin' on meyeah, yeahbad thingsit's a lot of bad thingsthat they wishin' and wishin' and wishin' and wishin'they wishin' on meyeah",Sad
8,9,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,85,"one kiss is all it takesfallin' in love with mepossibilitiesi look like all you needlet me take the night, i love real easyand i know that you'll still wanna see meon the sunday morning, music real loudlet me love you while the moon is still outsomething in you, lit up heaven in methe feeling won't let me sleep'cause i'm lost in the way you move, the way you feelone kiss is all it takesfallin' in love with mepossibilitiesi look like all you needone kiss is all it takesfallin' in love with mepossibilitiesi look like all you needoneoneoneonei just wanna feel your skin on minefeel your eyes do the exploringpassion in the message when you smiletake my timesomething in you lit up heaven in methe feeling won't let me sleep'cause i'm lost in the way you move, the way you feelone kiss is all it takesfallin' in love with mepossibilitiesi look like all you needone kiss is all it takesfallin' in love with mepossibilitiesi look like all you needoneoneoneonesee a wonderland in your eyesmight need your company tonightsomething in you lit up heaven in methe feeling won't let me sleep'cause i'm lost in the way you move, the way you feelone kiss is all it takesfallin' in love with mepossibilitiesi look like all you needone kiss is all it takesfallin' in love with mepossibilitiesi look like all you needoneoneoneone",Sad
9,10,Thunder,Imagine Dragons,modern rock,2017,168,82,61,-5,15,29,187,1,4,85,"just a young gun with a quick fusei was uptight, wanna let loosei was dreaming of bigger thingsand wanna leave my old life behindnot a yes-sir, not a followerfit the box, fit the moldhave a seat in the foyer, take a numberi was lightning before the thunderthunder, thunderthunder, thun-, thunderthun-thun-thunder, thunder, thunderthunder, thun-, thunderthun-thun-thunder, thunderthunder, feel the thunderlightning then the thunderthunder, feel the thunderlightning then the thunderthunder, thunderthunderkids were laughing in my classeswhile i was scheming for the masseswho do you think you are?dreaming 'bout being a big starthey say you're basic, they say you're easyyou're always riding in the back seatnow i'm smiling from the stage whileyou were clapping in the nosebleedsthunderthunder, thun-, thunderthun-thun-thunder, thunder, thunderthunder, thun-, thunderthun-thun-thunder, thunderthunder, feel the thunderlightning then the thunderthunder, feel the thunderlightning then the thunderthunderthunder, feel the thunderlightning then the thunder, thunderthunder, feel the thunderlightning then the thunder, thunderthunder, feel the thunderlightning then the thunder, thunderthunder, feel the thunder(never give up, never give up)lightning then the thunder, thunder(never give up on your dreams)thunder, feel the thunder(never give up, never give up)lightning then the thunder, thunder(never give up on your dreams)thunder, thunder, thun-, thunderthun-thun-thunder, thunderthunder, thunder, thun-, thunderthun-thun-thunder, thunderthunder, thunder, thun-, thunderthun-thun-thunder, thunderthunder, thunder, thun-, thunderthun-thun-thunder, thunder",Happy
