,Emotion Detected
28634,1
36492,1
24454,1
28908,1
34723,1
33837,1
24617,1
34285,1
34795,1
27654,1
30360,1
34216,1
31094,1
37534,1
27306,1
25872,1
37401,1
25859,1
26952,1
38063,1
38966,1
29523,1
27456,1
24854,1
38990,1
35289,1
37682,1
24181,1
33964,1
32180,1
33118,1
31668,1
30869,1
28274,1
29885,1
34894,1
38048,1
33946,1
31981,1
32871,1
25341,1
36735,1
28616,1
36526,1
33808,1
38587,1
29510,1
26844,1
38987,1
31008,1
38854,1
34193,1
30759,1
37330,1
25295,1
28255,1
35238,1
25311,1
35767,1
32554,1
28579,1
28457,1
37390,1
26728,1
27352,1
35403,1
35832,1
30010,1
27998,1
38642,1
30849,1
27639,1
35502,1
31597,1
28250,1
29411,1
24601,1
27195,1
27950,1
35162,1
35786,1
35652,1
25027,1
39507,1
34506,1
26792,1
26889,1
27390,1
35186,1
27772,1
34184,1
38468,1
26749,1
26669,1
29576,1
31132,1
28426,1
26348,1
24257,1
38825,1
29372,1
25890,1
31793,1
26685,1
35642,1
35216,1
33499,1
30334,1
35125,1
31383,1
35352,1
37368,1
28011,1
29425,1
37799,1
29090,1
26114,1
38800,1
37068,1
33672,1
27908,1
31761,1
33337,1
30362,1
35604,1
28157,1
35320,1
32489,1
28334,1
39096,1
33769,1
37446,1
24260,1
33064,1
34035,1
26179,1
28509,1
37017,1
24857,1
34949,1
31916,1
37703,1
38691,1
34229,1
24717,1
37020,1
31217,1
30342,1
34959,1
26403,1
35753,1
27303,1
26808,1
25170,1
32042,1
38026,1
31396,1
30652,1
34960,1
30858,1
27400,1
32920,1
37538,1
33381,1
33547,1
29174,1
26835,1
26257,1
30537,1
32500,1
36671,1
36861,1
24431,1
33283,1
32737,1
38516,1
32084,1
24455,1
25206,1
29867,1
35862,1
27268,1
31694,1
30696,1
33538,1
32116,1
25907,1
32304,1
26170,1
34571,1
39127,1
24505,1
37738,1
34441,1
34543,1
35337,1
34194,1
27442,1
26128,1
27217,1
34155,1
24175,1
38457,1
34236,1
33013,1
31972,1
38347,1
28594,1
35089,1
36696,1
36161,1
29669,1
35197,1
35198,1
35655,1
39254,1
27019,1
31032,1
35422,1
33662,1
30804,1
26022,1
38672,1
31600,1
28843,1
27522,1
35208,1
33070,1
24009,1
34276,1
28158,1
27382,1
28770,1
33579,1
34258,1
37480,1
28579,1
39135,1
24199,1
26597,1
35267,1
25063,1
38314,1
26942,1
26950,1
37730,1
36565,1
32090,1
26739,1
26637,1
33712,1
38420,1
36588,1
31577,1
35617,1
38596,1
38850,1
30770,1
30307,1
33275,1
38581,1
36251,1
24140,1
38448,1
39096,1
27218,1
27024,1
39468,1
34961,1
27610,1
27313,1
29087,1
31465,1
28598,1
33717,1
31153,1
27947,1
26381,1
34762,1
38167,1
33944,1
28581,1
25612,1
36385,1
31396,1
31808,1
32072,1
24419,1
28993,1
38332,1
31270,1
27380,1
39043,1
27916,1
30439,1
26463,1
35510,1
33626,1
34601,1
35580,1
25188,1
24595,1
29927,1
31654,1
32774,1
32386,1
28139,1
35930,1
33541,1
26196,1
